,Order,Utility.Blade,
1,1,Hart 3 ,11
2,2,Hart 1 ,14
3,3,Hyper Tough 2 ,7
4,4,Lenox 3 ,3
5,5,Husky 1 ,5
6,6,DeWalt Carbide 2 ,6
7,7,Milwaukee 2 ,4
8,8,Husky 3 ,5
9,9,Lenox 2 ,3
10,10,Stanley 3 ,7
11,11,DeWalt 4 ,3
12,12,DeWalt 2 ,4
13,13,Hyper Tough 3 ,3
14,14,Milwaukee 3 ,3
15,15,Kobalt 4 ,4
16,16,Milwaukee 4 ,4
17,17,Kobalt 1 ,3
18,18,DeWalt 1 ,4
19,19,Hart 4 ,30
20,20,Irwin 4 ,5
21,21,Husky 2 ,6
22,22,DeWalt Carbide 3 ,6
23,23,Lenox 4 ,2
24,24,Hart 2 ,13
25,25,Milwaukee 1 ,7
26,26,Kobalt 3 ,4
27,27,Husky 4 ,3
28,28,Irwin 2 ,6
29,29,Stanley 2 ,12
30,30,Hyper Tough 4 ,5
31,31,Stanley 4 ,23
32,32,Irwin 1 ,4
33,33,DeWalt Carbide 1 ,4
34,34,DeWalt 3 ,4
35,35,Stanley 1 ,12
36,36,Hyper Tough 1 ,4
37,37,Irwin 3 ,4
38,38,DeWalt Carbide 4 ,5
39,39,Kobalt 2 ,6
40,40,Lenox 1 ,3
